Analysis,ENA run,Sample
MGYA00238109,ERZ650654,SRS1593877
MGYA00593764,ERZ508534,SRS1589531
MGYA00590526,ERZ842555,ERS494374
MGYA00084348,ERZ324941,ERS1258241
MGYA00367630,ERZ841003,ERS491836
MGYA00587833,ERZ2944626,SRS567313
MGYA00510704,ERZ859092,ERS1568990
MGYA00581490,ERZ1694533,ERS1030535
MGYA00592997,ERZ3421491,ERS1309476
MGYA00238065,ERZ584658,SRS2235644
MGYA00374983,ERZ778602,SRS2138914
MGYA00510816,ERZ484634,ERS1972390
MGYA00248598,ERZ508640,SRS1593760
MGYA00248728,ERZ505373,SRS1967626
MGYA00136704,ERZ475184,ERS667647
MGYA00248595,ERZ508633,SRS1593760
MGYA00510720,ERZ484626,ERS1972354
MGYA00354810,ERZ841155,ERS2876947
MGYA00375879,ERZ724585,SRS791682
MGYA00375875,ERZ724581,SRS794574
MGYA00139966,ERZ1756898,ERS1568981
MGYA00587812,ERZ2944812,SRS1776432
MGYA00520866,ERZ1027231,ERS1289860
MGYA00589051,ERZ831144,ERS490065
MGYA00004400,ERR700190,ERS627840
MGYA00520711,ERZ1034571,ERS2597671
MGYA00592973,ERZ3421823,ERS1308985
MGYA00367594,ERZ840267,ERS490928
MGYA00132146,ERZ312764,ERS1197989
MGYA00367621,ERZ840919,ERS489236
MGYA00367561,ERZ835454,ERS488649
MGYA00589038,ERZ841276,ERS492814
MGYA00250100,ERZ650196,SRS2339546
MGYA00583250,ERZ1749044,ERS1568973
MGYA00367547,ERZ833316,ERS488747
MGYA00367749,ERZ843394,ERS491767
MGYA00589085,ERZ1761222,ERS1284766
MGYA00345688,ERZ806372,ERS1871423
MGYA00590362,ERZ3820726,ERS2285881
MGYA00237888,ERZ534237,SRS2395001
MGYA00590693,ERZ3792513,ERS4023159
MGYA00587084,ERZ2772636,ERS490245
MGYA00004363,ERR700153,ERS627876
MGYA00583289,ERZ1748964,ERS1972351
MGYA00151525,ERZ475219,ERS667517
MGYA00590683,ERZ3792507,ERS4023161
MGYA00521079,ERZ813225,DRS049200
MGYA00593215,ERZ836272,ERS492778
MGYA00238076,ERZ650160,ERS1869123
MGYA00590523,ERZ839685,ERS490659
MGYA00521308,ERZ807352,SRS976595
MGYA00593738,ERZ505268,SRS1589284
MGYA00510778,ERZ1756805,ERS1568990
MGYA00580166,ERZ1673792,SRS1338841
MGYA00587814,ERZ2944784,SRS1776388
MGYA00248552,ERZ534011,SRS2911440
MGYA00590859,ERZ2610354,ERS5835119
MGYA00521097,ERZ890604,ERS2026567
MGYA00510716,ERZ1756893,ERS1972357
MGYA00510712,ERZ484664,ERS1972412
MGYA00581498,ERZ1694522,ERS1030528
MGYA00510831,ERZ1756864,ERS1972374
MGYA00583208,ERZ1749075,ERS1568989
MGYA00593729,ERZ505250,SRS1589251
MGYA00593309,ERZ4200976,SRS1528124
MGYA00345653,ERZ802829,ERS1871392
MGYA00510690,ERZ859122,ERS1569005
MGYA00587811,ERZ2944828,SRS580498
MGYA00592918,ERZ3422018,ERS1309642
MGYA00151544,ERZ475159,ERS667618
MGYA00367716,ERZ841976,ERS493705
MGYA00580188,ERZ1673962,SRS1633000
MGYA00248453,ERZ584566,SRS1593800
MGYA00237976,ERZ584528,SRS1593766
MGYA00564020,ERZ1303544,ERS4366692
MGYA00510629,ERZ859456,ERS1972367
MGYA00587810,ERZ2944856,SRS839199
MGYA00582562,ERZ1741235,ERS667478
MGYA00367611,ERZ840605,ERS490373
MGYA00592972,ERZ3421824,ERS1308664
MGYA00250107,ERZ650186,SRS1254557
MGYA00510668,ERZ484673,ERS1972432
MGYA00367510,ERZ828934,ERS488919
MGYA00593302,ERZ4200942,SRS1531595
MGYA00592984,ERZ3421569,ERS1309809
MGYA00589544,ERZ2944887,SRS584253
MGYA00136614,ERZ475162,ERS667619
MGYA00590551,ERZ841477,ERS492177
MGYA00587104,ERZ2772621,ERS488791
MGYA00238061,ERZ584649,SRS1593806
MGYA00586704,ERZ2098910,ERS5917447
MGYA00593237,ERZ4201017,SRS1525471
MGYA00582449,ERZ1741354,ERS667606
MGYA00151564,ERZ475192,ERS667482
MGYA00520657,ERZ1034491,ERS2597635
MGYA00589040,ERZ841115,ERS490124
MGYA00585827,ERZ2437464,SRS2329750
MGYA00367707,ERZ841895,ERS488714
MGYA00367607,ERZ840587,ERS490597
MGYA00587016,ERZ2772591,ERS489996
MGYA00367550,ERZ833580,ERS491938
MGYA00521187,ERZ807365,SRS976488
MGYA00587794,ERZ2944817,SRS1776419
MGYA00345662,ERZ802846,ERS1871405
MGYA00580158,ERZ1673803,SRS1338840
MGYA00237874,ERZ529319,SRS1116267
MGYA00587116,ERZ2772508,ERS488737
MGYA00521032,ERZ1022794,SRS3540802
MGYA00580121,ERZ1673967,ERS223619
MGYA00151532,ERZ475248,ERS667555
MGYA00136656,ERZ475206,ERS667497
MGYA00590461,ERZ841839,ERS490476
MGYA00238073,ERZ650161,ERS1869122
MGYA00238080,ERZ650175,SRS1115081
MGYA00163493,ERZ500819,ERS950426
MGYA00593351,ERZ4200944,SRS1525508
MGYA00151502,ERZ475182,ERS667645
MGYA00583303,ERZ1749012,ERS1972367
MGYA00136744,ERZ475141,ERS667593
MGYA00367551,ERZ833786,ERS490029
MGYA00587047,ERZ2772533,ERS488836
MGYA00593139,ERZ828930,ERS478017
MGYA00367677,ERZ841489,ERS488685
MGYA00004392,ERR700182,ERS627862
MGYA00151574,ERZ475205,ERS667496
MGYA00590669,ERZ3792532,ERS4023158
MGYA00593257,ERZ4201004,SRS1525459
MGYA00248573,ERZ508619,SRS1593760
MGYA00367648,ERZ841312,ERS488830
MGYA00583273,ERZ1749119,ERS1972348
MGYA00367742,ERZ842400,ERS494559
MGYA00581491,ERZ1694532,ERS1030536
MGYA00575351,ERZ1645185,SRS4555986
MGYA00521124,ERZ807360,SRS976585
MGYA00579294,ERZ1669251,SRS2704733
MGYA00590521,ERZ841130,ERS492814
MGYA00510627,ERZ859476,ERS1972377
MGYA00593340,ERZ4200909,SRS1525408
MGYA00593345,ERZ4200901,SRS1525392
MGYA00582540,ERZ1741320,ERS667499
MGYA00590460,ERZ841489,ERS488685
MGYA00151505,ERZ475195,ERS667484
MGYA00520854,ERZ1027302,ERS1289861
MGYA00151492,ERZ475202,ERS667651
MGYA00345669,ERZ802861,ERS1871413
MGYA00238008,ERZ584584,SRS1593802
MGYA00590842,ERZ2610353,ERS5835122
MGYA00248509,ERZ534153,SRS1593764
MGYA00238022,ERZ584612,SRS1593802
MGYA00136639,ERZ475253,ERS667560
MGYA00238015,ERZ584598,SRS1593802
MGYA00238050,ERZ584625,SRS1593806
